Protein,Proteome ID,Number of Peptides,Number of Transitions
3-ketoacyl-CoA thiolase,CHOYP_ACAA2.1.1|m.30666,3,9
Peroxiredoxin-5,CHOYP_BRAFLDRAFT_119799.1.1|m.23765,2,6
Thioredoxin reductase 3,CHOYP_BRAFLDRAFT_122807.1.1|m.3729,3,9
Protein phosphatase 1B,CHOYP_BRAFLDRAFT_275870.1.1|m.12895,3,9
Carbonic anyhdrase 2,CHOYP_CAH2.1.1|m.42306,3,9
Catalase 1,CHOYP_CATA.1.3|m.11120,3,9
Catalase 2,CHOYP_CATA.3.3|m.21642,1,3
Glucose-6-phosphate 1-dehydrogenase,CHOYP_G6PD.2.2|m.46923,3,9
Heat shock 70 kDa protein,CHOYP_HS12A.25.33|m.60352,2,6
Heat shock protein 70 B2,CHOYP_HSP74.1.1|m.13095,2,6
NAD(P) transhydrogenase,CHOYP_LOC100633041.1.1|m.35428,2,6
Glycogen phosphorylase,CHOYP_LOC100883864.1.1|m.41791,3,9
Multidrug resistance-associated protein,CHOYP_MRP1.5.10|m.34368,2,6
Protein disulfide-isomerase 1,CHOYP_PDIA1.1.1|m.5297,3,9
Protein disulfide-isomerase 2,CHOYP_PDIA3.1.1|m.60223,3,9
Puromysin-sensitive amirase,CHOYP_PSA.1.1|m.27259,3,9
